runAt,kpi,target,today,total,status
2026-07-07T01:00:52.234Z,People Invited,50,0,0,⬜
2026-07-07T01:00:52.234Z,People Logged In,35,0,3,🟨
2026-07-07T01:00:52.234Z,AI Strategies Generated,30,0,4,🟨
2026-07-07T01:00:52.234Z,High-Value Feedback,10,0,1,🟨
2026-07-07T01:00:52.234Z,Medium-Value Feedback,15,0,0,⬜
2026-07-07T01:00:52.234Z,Low-Value Feedback,5,0,0,⬜
2026-07-07T01:00:52.234Z,Enterprise Introductions,5,0,0,⬜
2026-07-07T01:35:40.114Z,People Invited,50,0,2,🟨
2026-07-07T01:35:40.114Z,People Logged In,35,0,3,🟨
2026-07-07T01:35:40.114Z,AI Strategies Generated,30,0,4,🟨
2026-07-07T01:35:40.114Z,High-Value Feedback,10,0,1,🟨
2026-07-07T01:35:40.114Z,Medium-Value Feedback,15,0,0,⬜
2026-07-07T01:35:40.114Z,Low-Value Feedback,5,0,0,⬜
2026-07-07T01:35:40.114Z,Enterprise Introductions,5,0,2,🟨
2026-07-07T01:42:34.676Z,People Invited,50,0,3,🟨
2026-07-07T01:42:34.676Z,People Logged In,35,0,3,🟨
2026-07-07T01:42:34.676Z,AI Strategies Generated,30,0,4,🟨
2026-07-07T01:42:34.676Z,High-Value Feedback,10,0,1,🟨
2026-07-07T01:42:34.676Z,Medium-Value Feedback,15,0,0,⬜
2026-07-07T01:42:34.676Z,Low-Value Feedback,5,0,0,⬜
2026-07-07T01:42:34.676Z,Enterprise Introductions,5,0,0,⬜
2026-07-07T01:53:15.293Z,People Invited,50,0,3,🟨
2026-07-07T01:53:15.293Z,People Logged In,35,0,2,🟨
2026-07-07T01:53:15.293Z,AI Strategies Generated,30,0,5,🟨
2026-07-07T01:53:15.293Z,High-Value Feedback,10,0,1,🟨
2026-07-07T01:53:15.293Z,Medium-Value Feedback,15,0,0,⬜
2026-07-07T01:53:15.293Z,Low-Value Feedback,5,0,0,⬜
2026-07-07T01:53:15.293Z,Enterprise Introductions,5,0,0,⬜
2026-07-07T01:55:07.891Z,People Invited,50,0,3,🟨
2026-07-07T01:55:07.891Z,People Logged In,35,0,2,🟨
2026-07-07T01:55:07.891Z,AI Strategies Generated,30,0,5,🟨
2026-07-07T01:55:07.891Z,High-Value Feedback,10,0,1,🟨
2026-07-07T01:55:07.891Z,Medium-Value Feedback,15,0,0,⬜
2026-07-07T01:55:07.891Z,Low-Value Feedback,5,0,0,⬜
2026-07-07T01:55:07.891Z,Enterprise Introductions,5,0,0,⬜
2026-07-07T01:59:36.533Z,People Invited,50,0,3,🟨
2026-07-07T01:59:36.533Z,People Logged In,35,0,7,🟨
2026-07-07T01:59:36.533Z,AI Strategies Generated,30,0,5,🟨
2026-07-07T01:59:36.533Z,High-Value Feedback,10,0,1,🟨
2026-07-07T01:59:36.533Z,Medium-Value Feedback,15,0,0,⬜
2026-07-07T01:59:36.533Z,Low-Value Feedback,5,0,0,⬜
2026-07-07T01:59:36.533Z,Enterprise Introductions,5,0,0,⬜
2026-07-07T02:00:50.275Z,People Invited,50,0,3,🟨
2026-07-07T02:00:50.275Z,People Logged In,35,0,7,🟨
2026-07-07T02:00:50.275Z,AI Strategies Generated,30,0,5,🟨
2026-07-07T02:00:50.275Z,High-Value Feedback,10,0,1,🟨
2026-07-07T02:00:50.275Z,Medium-Value Feedback,15,0,0,⬜
2026-07-07T02:00:50.275Z,Low-Value Feedback,5,0,0,⬜
2026-07-07T02:00:50.275Z,Enterprise Introductions,5,0,0,⬜
2026-07-07T02:05:03.663Z,People Invited,50,0,3,🟨
2026-07-07T02:05:03.663Z,People Logged In,35,0,7,🟨
2026-07-07T02:05:03.663Z,AI Strategies Generated,30,0,5,🟨
2026-07-07T02:05:03.663Z,High-Value Feedback,10,0,1,🟨
2026-07-07T02:05:03.663Z,Medium-Value Feedback,15,0,0,⬜
2026-07-07T02:05:03.663Z,Low-Value Feedback,5,0,0,⬜
2026-07-07T02:05:03.663Z,Enterprise Introductions,5,0,0,⬜
2026-07-07T02:07:35.422Z,People Invited,50,0,3,🟨
2026-07-07T02:07:35.422Z,People Logged In,35,0,7,🟨
2026-07-07T02:07:35.422Z,AI Strategies Generated,30,0,5,🟨
2026-07-07T02:07:35.422Z,High-Value Feedback,10,0,1,🟨
2026-07-07T02:07:35.422Z,Medium-Value Feedback,15,0,0,⬜
2026-07-07T02:07:35.422Z,Low-Value Feedback,5,0,0,⬜
2026-07-07T02:07:35.422Z,Enterprise Introductions,5,0,0,⬜
2026-07-07T02:11:35.618Z,People Invited,50,0,3,🟨
2026-07-07T02:11:35.618Z,People Logged In,35,0,7,🟨
2026-07-07T02:11:35.618Z,AI Strategies Generated,30,0,5,🟨
2026-07-07T02:11:35.618Z,High-Value Feedback,10,0,1,🟨
2026-07-07T02:11:35.618Z,Medium-Value Feedback,15,0,0,⬜
2026-07-07T02:11:35.618Z,Low-Value Feedback,5,0,0,⬜
2026-07-07T02:11:35.618Z,Enterprise Introductions,5,0,0,⬜
